Training started at 2025-04-03 07:23:56
Model: VAE with latent_dim=2
Batch size: 256, Image size: 28x28
Total epochs: 500

Epoch,Avg_Loss,Recon_Loss,KL_Loss
160,114.693928,29.266659,21.615631
161,114.744233,29.161833,20.327572
162,114.588328,28.553211,21.716864
163,114.563601,29.960712,21.357481
164,114.686017,29.787714,20.470879
165,114.848328,29.571011,20.900730
166,114.452849,31.296862,18.782780
167,114.553627,26.944151,20.486860
168,114.649890,29.242601,23.461094
169,114.594635,31.356678,19.973688
170,114.590271,30.304708,21.973381
171,114.448292,28.885994,22.152882
172,114.393490,29.582520,22.202799
173,114.528711,29.700123,22.552750
174,114.321369,30.017864,22.629412
175,114.240315,28.316967,22.255703
176,114.187283,30.274427,20.985134
177,114.394069,30.402658,21.517441
178,114.119444,25.974195,21.564484
179,114.249344,27.965984,23.248417
180,114.275487,30.437443,20.188555
181,114.146015,28.486647,24.608452
182,114.058816,29.717178,21.663477
183,114.321246,33.207912,23.080141
184,114.090082,28.951958,20.460787
185,114.169799,28.436930,19.292543
186,114.022567,30.029343,20.917553
187,113.947188,28.759354,23.186991
188,113.939095,29.588772,19.520569
189,113.931303,30.189789,20.866381
190,113.936859,29.031162,22.430786
191,113.957065,29.475000,25.216141
192,113.976196,31.646015,20.416248
193,113.888145,28.754267,22.896885
194,113.807951,28.633499,22.987150
195,113.787275,29.221050,23.407581
196,113.908979,26.111002,25.079159
197,113.745555,31.745840,21.001717
198,113.730784,28.951727,24.134117
199,113.904067,30.607716,21.883400
200,113.747855,30.091885,21.846745
201,113.670945,29.154699,22.143669
202,113.809795,28.545948,22.392164
203,113.666781,29.946259,22.428696
204,113.558701,28.318943,22.694870
205,113.630388,29.073553,23.822397
206,113.515944,29.849995,21.905058
207,113.522237,28.712677,19.827240
208,113.593873,30.391586,22.577328
209,113.661784,28.847790,22.653385
210,113.457346,27.917049,20.005230
211,113.372278,27.418659,24.912849
212,113.338572,30.243755,21.267035
213,113.520963,28.089676,26.367619
214,113.426133,27.160599,24.546595
215,113.416305,28.194790,23.193638
216,113.437962,29.355825,20.168741
217,113.352192,28.330681,23.722643
218,113.154836,28.278952,20.736330
219,113.378536,29.729221,20.454647
220,113.198464,28.623669,22.739784
221,113.280830,28.311081,20.929134
222,113.363289,29.891205,25.803646
223,113.249338,30.938541,23.638716
